;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
0;masculino;comercio;fabrica de;prado;3.0;10.0;2018-07-13;5000000.0;microempresarial
1;femenino;servicio;recreativo educativo;barrio caicedo;1.0;9.0;2017-10-30;6000000.0;microempresarial
2;femenino;comercio;tienda;aranjuez;2.0;4.0;2017-08-03;7300000.0;microempresarial
3;masculino;comercio;variedades;cabecera san cristobal;3.0;;2017-11-20;7000000.0;microempresarial
4;femenino;comercio;fabrica de;robledo;2.0;7.0;2017-02-23;5000000.0;microempresarial
5;femenino;comercio;variedades;picachito;1.0;6.0;2017-05-31;7000000.0;microempresarial
6;femenino;industria;fabrica de;guayabal;3.0;15.0;2016-02-20;2000000.0;microempresarial
7;femenino;comercio;tienda;carpinelo;1.0;1.0;2017-02-14;3300000.0;microempresarial
8;masculino;comercio;variedades;belalcazar;2.0;5.0;2018-05-07;7800000.0;microempresarial
9;femenino;comercio;variedades;manrique central no. 1;1.0;4.0;2018-05-03;7800000.0;microempresarial
10;femenino;industria;fabrica de;manrique central no. 2;2.0;3.0;2017-02-28;4500000.0;microempresarial
11;masculino;agropecuaria;sembrados;santa elena central;2.0;;2016-12-23;13000000.0;agropecuaria
12;femenino;comercio;comidas rapidas;andalucia;2.0;2.0;2018-04-12;7800000.0;microempresarial
13;masculino;industria;fabrica de;san javier no.1;1.0;13.0;2018-08-23;4000000.0;microempresarial
14;masculino;servicio;variedades;belencito;2.0;13.0;2018-07-30;7800000.0;microempresarial
15;masculino;comercio;miscelanea;centro admtivo;3.0;10.0;2018-02-14;1000000.0;microempresarial
16;femenino;comercio;variedades;cabecera san antonio;2.0;;2017-11-16;7000000.0;microempresarial
17;femenino;servicio;cafe e internet;manrique central no. 1;3.0;4.0;2019-04-29;8000000.0;microempresarial
18;masculino;comercio;tienda;villa hermosa;3.0;8.0;2018-06-27;5000000.0;microempresarial
19;femenino;comercio;venta de calzado;playon de los;2.0;2.0;2017-02-27;7000000.0;microempresarial
20;femenino;comercio;productos de belleza;buenos aires;3.0;9.0;2017-07-24;7300000.0;microempresarial
21;masculino;comercio;tienda;manrique central no. 1;2.0;4.0;2018-09-14;6000000.0;microempresarial
22;femenino;comercio;tienda;popular;2.0;1.0;2018-10-11;6000000.0;microempresarial
23;femenino;comercio;almacen de ropa en;robledo;2.0;7.0;2018-02-15;6000000.0;microempresarial
24;femenino;comercio;variedades;tricentenario;3.0;5.0;2017-11-20;4000000.0;microempresarial
25;masculino;servicio;barberia;calasanz;2.0;12.0;2017-09-26;7377000.0;microempresarial
26;masculino;industria;fabrica de;aranjuez;3.0;4.0;2016-10-24;6500000.0;microempresarial
27;femenino;comercio;comidas rapidas;buenos aires;2.0;9.0;2019-06-28;1500000.0;microempresarial
28;masculino;comercio;variedades;andalucia;2.0;2.0;2018-08-17;7800000.0;microempresarial
29;femenino;servicio;peluqueria;pedregal;3.0;6.0;2017-10-27;7300000.0;microempresarial
30;femenino;servicio;jardineria;la francia;2.0;2.0;2017-06-12;7377000.0;microempresarial
31;femenino;comercio;variedades;santa cruz;2.0;2.0;2017-06-14;4000000.0;microempresarial
32;femenino;comercio;tienda;san javier no.1;2.0;13.0;2018-02-06;7800000.0;microempresarial
33;femenino;comercio;variedades;la floresta;3.0;12.0;2017-09-05;7300000.0;microempresarial
34;femenino;comercio;variedades;belen;3.0;16.0;2016-09-16;6890000.0;microempresarial
35;masculino;comercio;tienda;las brisas;3.0;5.0;2018-01-15;6000000.0;microempresarial
36;femenino;comercio;peluqueria;castilla;3.0;5.0;2017-08-11;2500000.0;microempresarial
37;masculino;industria;fabrica de alimentos;san javier no.1;2.0;13.0;2016-10-27;6800000.0;microempresarial
38;femenino;comercio;almacen de ropa en;cabecera san antonio;2.0;;2016-09-22;4000000.0;microempresarial
39;masculino;industria;variedades;cabecera san antonio;2.0;;2017-07-24;5000000.0;credioportuno
40;masculino;industria;fabrica de;guayabal;2.0;15.0;2016-03-02;4000000.0;microempresarial
41;masculino;industria;fabrica de;belen;2.0;16.0;2016-05-24;6500000.0;microempresarial
42;femenino;comercio;comidas rapidas;santander;2.0;6.0;2018-07-27;1200000.0;microempresarial
43;femenino;comercio;almacen de ropa en;prado;3.0;10.0;2017-11-20;7000000.0;microempresarial
44;femenino;comercio;comidas rapidas;santa cruz;2.0;2.0;2018-03-22;1500000.0;microempresarial
45;masculino;industria;fabrica de traperos;aranjuez;3.0;4.0;2016-02-24;2000000.0;microempresarial
46;femenino;comercio;variedades;castilla;3.0;5.0;2017-02-15;4000000.0;microempresarial
47;masculino;industria;fabrica de alimentos;san javier no.2;3.0;13.0;2016-02-29;6890000.0;microempresarial
49;masculino;industria;fabrica de;san javier no.1;1.0;13.0;2017-08-15;6000000.0;microempresarial
50;masculino;servicio;variedades;pedregal;3.0;6.0;2017-04-24;7000000.0;microempresarial
51;masculino;comercio;panaderia;cabecera san antonio;2.0;;2017-04-27;3000000.0;microempresarial
52;masculino;servicio;mantenimiento en;la milagrosa;2.0;9.0;2018-05-16;7000000.0;microempresarial
53;masculino;comercio;variedades;la floresta;3.0;12.0;2016-08-16;6000000.0;microempresarial
54;femenino;comercio;fabrica de;san javier no.1;1.0;13.0;2017-10-05;7300000.0;microempresarial
55;masculino;comercio;tienda;cabecera san antonio;3.0;;2018-05-21;5500000.0;microempresarial
56;femenino;comercio;tienda de helados;robledo;3.0;7.0;2018-05-23;7800000.0;microempresarial
57;femenino;comercio;variedades;tricentenario;3.0;5.0;2017-04-27;7000000.0;microempresarial
58;femenino;comercio;miscelanea;villa hermosa;3.0;8.0;2016-12-19;6890000.0;microempresarial
59;masculino;servicio;mantenimiento en;andalucia;1.0;2.0;2016-01-22;6890000.0;microempresarial
60;femenino;comercio;tienda;bombona no. 1;3.0;10.0;2016-10-05;4000000.0;microempresarial
61;masculino;industria;fabrica de;santa cruz;2.0;2.0;2016-09-30;6890000.0;microempresarial
62;femenino;comercio;almacen de ropa en;manrique oriental;2.0;3.0;2017-02-08;1200000.0;microempresarial
63;femenino;comercio;fabrica de;villa liliam;1.0;13.0;2019-02-06;7800000.0;microempresarial
64;masculino;comercio;tienda;kennedy;2.0;6.0;2018-09-27;5000000.0;microempresarial
65;femenino;comercio;variedades;robledo;2.0;7.0;2016-10-28;6000000.0;microempresarial
66;femenino;comercio;tienda;santa cruz;2.0;2.0;2016-04-04;4000000.0;microempresarial
67;femenino;comercio;variedades;popular;2.0;1.0;2016-02-29;6500000.0;microempresarial
68;masculino;comercio;comidas rapidas;doce de octubre no.1;2.0;6.0;2018-05-21;5000000.0;microempresarial
69;masculino;servicio;bares;san javier no.1;2.0;13.0;2018-07-16;5000000.0;microempresarial
70;masculino;industria;fabrica de;buenos aires;3.0;9.0;2018-03-06;7800000.0;microempresarial
71;femenino;comercio;peluqueria;pedregal;3.0;6.0;2017-04-18;7000000.0;microempresarial
72;femenino;comercio;almacen de ropa en;robledo;2.0;7.0;2018-07-03;4000000.0;microempresarial
73;femenino;comercio;tienda;robledo;2.0;7.0;2018-09-05;5000000.0;microempresarial
74;femenino;comercio;peluqueria;robledo;2.0;7.0;2018-05-03;6000000.0;microempresarial
75;femenino;agropecuaria;criadero de animales;la floresta;2.0;12.0;2016-06-14;6890000.0;microempresarial
76;masculino;comercio;almacen de ropa en;popular;1.0;1.0;2018-10-18;7800000.0;microempresarial
77;masculino;comercio;tienda;la milagrosa;3.0;9.0;2018-02-20;5000000.0;microempresarial
79;femenino;comercio;restaurante;enciso;3.0;8.0;2017-03-09;7000000.0;microempresarial
80;femenino;servicio;organización y;pedregal;3.0;6.0;2017-10-12;7377000.0;microempresarial
81;femenino;industria;fabrica de;el salvador;2.0;9.0;2017-06-06;7377000.0;microempresarial
82;femenino;industria;fabrica de;manrique central no. 1;2.0;4.0;2018-04-27;3000000.0;microempresarial
83;masculino;servicio;restaurante;belen;3.0;16.0;2017-04-03;7350000.0;microempresarial
84;femenino;comercio;variedades;buenos aires;3.0;9.0;2017-06-20;1000000.0;microempresarial
85;masculino;comercio;tienda;aranjuez;1.0;4.0;2017-09-04;3000000.0;microempresarial
86;femenino;servicio;peluqueria;el salvador;2.0;;2017-09-19;3000000.0;microempresarial
87;femenino;industria;fabrica de;la esperanza;1.0;6.0;2018-04-12;3000000.0;microempresarial
88;femenino;comercio;panaderia;playon de los;2.0;2.0;2016-11-22;6000000.0;microempresarial
89;femenino;comercio;almacen de ropa en;santa cruz;2.0;2.0;2017-02-21;6000000.0;microempresarial
90;masculino;comercio;tienda;robledo;1.0;7.0;2017-12-18;5000000.0;microempresarial
91;femenino;comercio;comidas rapidas;robledo;3.0;7.0;2018-01-29;7800000.0;microempresarial
92;femenino;industria;fabrica de;barrio caicedo;2.0;9.0;2017-03-16;5000000.0;microempresarial
93;masculino;servicio;variedades;santo domingo savio;1.0;1.0;2018-02-28;7000000.0;microempresarial
94;femenino;comercio;variedades;aranjuez;2.0;4.0;2016-08-25;3000000.0;microempresarial
95;masculino;servicio;comidas rapidas;robledo;2.0;7.0;2017-03-29;7377000.0;microempresarial
96;femenino;comercio;tienda;popular;2.0;1.0;2017-06-29;7300000.0;microempresarial
97;femenino;comercio;almacen de ropa en;robledo;2.0;7.0;2017-03-09;6000000.0;microempresarial
98;masculino;comercio;tienda;el salvador;3.0;9.0;2016-04-12;1000000.0;microempresarial
99;femenino;comercio;miscelanea;centro admtivo;1.0;10.0;2018-02-15;5000000.0;microempresarial
100;femenino;comercio;variedades;doce de octubre no.1;2.0;6.0;2017-03-02;3000000.0;microempresarial
101;masculino;comercio;fabrica de;centro admtivo;2.0;10.0;2018-01-24;4500000.0;microempresarial
102;femenino;comercio;fabrica de alimentos;campo valdes no. 2;1.0;3.0;2017-11-24;3000000.0;microempresarial
103;masculino;comercio;variedades;campo valdes no. 1;3.0;4.0;2018-06-06;4000000.0;microempresarial
104;femenino;servicio;fabrica de arepas;villa hermosa;3.0;8.0;2016-08-24;1050000.0;microempresarial
105;femenino;industria;carpinteria;belen;3.0;16.0;2018-01-30;7800000.0;microempresarial
106;femenino;comercio;variedades;calasanz;3.0;12.0;2018-05-16;3000000.0;microempresarial
108;femenino;servicio;variedades;las palmas;2.0;10.0;2017-12-22;4400000.0;microempresarial
109;masculino;comercio;tienda;girardot;3.0;5.0;2019-05-16;8200000.0;microempresarial
110;masculino;servicio;drogueria;cabecera san cristobal;2.0;;2018-07-12;7800000.0;microempresarial
111;femenino;industria;fabrica de;moravia;2.0;4.0;2018-06-01;7800000.0;microempresarial
112;femenino;comercio;tienda;enciso;2.0;8.0;2017-04-18;7000000.0;microempresarial
113;femenino;comercio;almacen de ropa en;cabecera san antonio;2.0;;2017-02-09;7377000.0;microempresarial
114;femenino;comercio;tienda de helados;san javier no.1;2.0;13.0;2017-09-27;30000000.0;empresarial ed.
115;femenino;comercio;almacen de ropa en;antonio nariño;2.0;13.0;2016-08-16;6890000.0;microempresarial
116;masculino;comercio;productos de mar;santa cruz;2.0;2.0;2018-06-07;2500000.0;microempresarial
117;femenino;agropecuaria;criadero de animales;cabecera san antonio;2.0;;2017-12-05;7300000.0;microempresarial
118;masculino;servicio;cafe e internet;moravia;3.0;4.0;2018-02-13;3000000.0;microempresarial
119;femenino;industria;fabrica de;popular;2.0;1.0;2018-08-24;7800000.0;microempresarial
120;masculino;industria;ebanistaria;manrique oriental;2.0;3.0;2016-12-06;6500000.0;microempresarial
121;femenino;comercio;variedades;las palmas;2.0;8.0;2018-05-22;4400000.0;microempresarial
122;masculino;agropecuaria;sembrados;santa elena central;2.0;;2017-07-26;10000000.0;agropecuaria
123;femenino;comercio;variedades;aranjuez;3.0;4.0;2018-02-02;36.0;microempresarial
124;masculino;industria;fabrica de calzado;el socorro;2.0;13.0;2017-12-12;7370000.0;microempresarial
125;masculino;industria;fabrica de;doce de octubre no.1;1.0;6.0;2016-07-27;6800000.0;microempresarial
126;femenino;comercio;fabrica de helados;manrique central no. 1;2.0;4.0;2016-10-04;6000000.0;microempresarial
127;femenino;comercio;miscelanea;lopez de mesa;3.0;7.0;2017-10-18;2000000.0;microempresarial
128;femenino;comercio;bares;aures no. 2;2.0;7.0;2019-03-01;2500000.0;microempresarial
129;masculino;servicio;variedades;popular;2.0;1.0;2017-08-31;5000000.0;microempresarial
130;femenino;comercio;miscelanea;buenos aires;2.0;9.0;2017-01-24;7370000.0;microempresarial
131;femenino;comercio;papeleria;cabecera san antonio;2.0;;2018-12-11;2000000.0;microempresarial
132;masculino;servicio;restaurante;centro admtivo;3.0;10.0;2017-11-08;4000000.0;microempresarial
133;femenino;comercio;carniceria;robledo;3.0;7.0;2017-10-13;4000000.0;microempresarial
134;femenino;industria;fabrica de;castilla;2.0;5.0;2019-01-18;8200000.0;microempresarial
135;femenino;comercio;comidas rapidas;san jose de la cima no.;1.0;3.0;2018-02-16;2000000.0;microempresarial
136;femenino;servicio;comidas rapidas;palermo;1.0;4.0;2016-08-18;3500000.0;microempresarial
137;masculino;servicio;tienda;13 de noviembre;1.0;8.0;2017-08-15;7200000.0;microempresarial
138;femenino;servicio;mantenimiento en;tejelo;3.0;5.0;2017-04-03;7377000.0;microempresarial
139;femenino;industria;fabrica de;doce de octubre no.1;1.0;6.0;2016-04-15;2000000.0;microempresarial
140;femenino;comercio;variedades;francisco antonio zea;2.0;5.0;2018-02-09;781000.0;microempresarial
141;femenino;comercio;tienda;picacho;1.0;6.0;2019-05-29;8200000.0;microempresarial
142;masculino;comercio;almacen de ropa en;girardot;3.0;5.0;2017-02-23;3000000.0;microempresarial
143;masculino;industria;carpinteria;manrique oriental;1.0;3.0;2016-12-16;6900000.0;microempresarial
144;femenino;servicio;peluqueria;buenos aires;3.0;9.0;2017-06-13;7377000.0;microempresarial
145;femenino;comercio;variedades;el salvador;2.0;9.0;2017-10-27;6500000.0;microempresarial
146;masculino;servicio;cafeteria;santa elena central;2.0;;2016-05-16;6000000.0;microempresarial
147;masculino;servicio;barberia;robledo;2.0;7.0;2018-05-08;6000000.0;microempresarial
148;masculino;comercio;peluqueria;belen;3.0;16.0;2018-06-08;7800000.0;microempresarial
149;femenino;industria;fabrica de;la loma oriental;2.0;;2016-12-16;6890000.0;microempresarial
150;masculino;servicio;barberia;la loma;1.0;;2018-08-24;7800000.0;microempresarial
151;femenino;servicio;cafe e internet;buenos aires;3.0;9.0;2016-12-05;6890000.0;microempresarial
152;femenino;servicio;fabrica de;castilla;3.0;5.0;2017-02-09;7377000.0;microempresarial
153;masculino;comercio;variedades;barrio caicedo;2.0;9.0;2017-10-24;7300000.0;microempresarial
154;masculino;industria;fabrica de;manrique oriental;2.0;3.0;2018-06-18;4000000.0;microempresarial
155;masculino;servicio;peluqueria;robledo;2.0;7.0;2018-02-21;7000000.0;microempresarial
156;femenino;servicio;comidas rapidas;florencia;3.0;5.0;2018-10-18;1500000.0;microempresarial
157;femenino;comercio;comidas rapidas;andalucia;2.0;2.0;2018-06-21;5000000.0;microempresarial
158;masculino;servicio;mantenimiento en;enciso;3.0;8.0;2018-09-27;7800000.0;microempresarial
159;masculino;comercio;comidas rapidas;doce de octubre no.1;2.0;6.0;2018-10-24;4000000.0;microempresarial
160;femenino;industria;fabrica de;manrique central no. 2;2.0;3.0;2019-06-12;4500000.0;microempresarial
161;masculino;industria;fabrica de muebles;cabecera san cristobal;3.0;;2018-10-26;7800000.0;microempresarial
162;femenino;comercio;comidas rapidas;aranjuez;3.0;4.0;2017-06-13;4000000.0;microempresarial
163;masculino;industria;fabrica de alimentos;robledo;3.0;7.0;2018-11-01;7800000.0;microempresarial
164;femenino;comercio;tienda;robledo;2.0;7.0;2017-02-13;5000000.0;microempresarial
165;femenino;comercio;comidas rapidas;san javier no.1;1.0;13.0;2018-03-14;7800000.0;microempresarial
166;femenino;servicio;cafe e internet;robledo;1.0;7.0;2016-06-24;6000000.0;microempresarial
167;femenino;industria;fabrica de;manrique central no. 1;1.0;4.0;2018-11-13;2500000.0;microempresarial
168;femenino;comercio;legumbreria;manrique central no. 2;2.0;3.0;2016-04-14;6000000.0;microempresarial
169;masculino;servicio;cafe e internet;buenos aires;3.0;9.0;2018-02-06;4000000.0;microempresarial
170;femenino;comercio;variedades;robledo;1.0;7.0;2018-08-24;7800000.0;microempresarial
171;femenino;industria;fabrica de;la floresta;2.0;13.0;2018-12-21;5000000.0;microempresarial
172;femenino;comercio;variedades;cabecera san antonio;2.0;;2016-06-17;6800000.0;microempresarial
173;masculino;comercio;panaderia;pedregal alto;3.0;;2017-12-04;7000000.0;microempresarial
174;masculino;comercio;ferreteria;villa del socorro;1.0;2.0;2018-02-15;7800000.0;microempresarial
175;femenino;comercio;variedades;buenos aires;3.0;9.0;2018-08-01;1000000.0;microempresarial
176;femenino;industria;fabrica de;la libertad;2.0;8.0;2018-05-31;7800000.0;microempresarial
177;femenino;comercio;variedades;el chagualo;3.0;10.0;2018-05-25;7800000.0;microempresarial
178;femenino;comercio;miscelanea;popular;1.0;1.0;2016-10-26;4000000.0;microempresarial
179;femenino;industria;fabrica de arepas;san javier no.1;3.0;13.0;2016-06-15;6500000.0;microempresarial
180;femenino;industria;fabrica de;aranjuez;2.0;4.0;2018-03-22;3400000.0;microempresarial
181;masculino;comercio;comidas rapidas;popular;2.0;1.0;2017-11-22;4000000.0;microempresarial
182;masculino;comercio;tienda;picacho;1.0;6.0;2018-05-04;7000000.0;microempresarial
183;femenino;industria;fabrica de;campo valdes no. 1;3.0;4.0;2019-01-25;5000000.0;microempresarial
184;femenino;servicio;tienda;enciso;2.0;8.0;2017-04-25;5000000.0;microempresarial
185;femenino;industria;fabrica de;santa cruz;2.0;2.0;2018-07-17;7800000.0;microempresarial
186;masculino;industria;fabrica de;trinidad;3.0;15.0;2016-05-19;3000000.0;microempresarial
187;femenino;comercio;fabrica de arepas;barrio caicedo;2.0;9.0;2019-03-20;4000000.0;microempresarial
188;femenino;industria;fabrica de;robledo;2.0;7.0;2018-08-17;5000000.0;microempresarial
189;femenino;comercio;variedades;el poblado;3.0;14.0;2017-06-16;7000000.0;microempresarial
190;femenino;comercio;comidas rapidas;santa cruz;2.0;2.0;2018-12-03;6000000.0;microempresarial
191;masculino;comercio;almacen de ropa en;santa cruz;2.0;2.0;2019-02-05;8000000.0;microempresarial
192;femenino;industria;carpinteria;cabecera san antonio;2.0;;2016-09-15;6500000.0;microempresarial
193;masculino;servicio;recreativo educativo;cabecera san cristobal;3.0;;2019-02-06;7800000.0;microempresarial
194;femenino;industria;fabrica de;manrique central no. 1;2.0;4.0;2019-06-27;8281000.0;microempresarial
195;masculino;industria;fabrica de repuestos;la floresta;2.0;12.0;2018-07-09;7800000.0;microempresarial
196;femenino;comercio;tienda;la francia;2.0;2.0;2019-04-08;6000000.0;microempresarial
198;masculino;servicio;comidas rapidas;castilla;2.0;5.0;2016-04-26;6890000.0;microempresarial
199;femenino;servicio;distribuidora de;san javier no.1;2.0;13.0;2017-04-03;7000000.0;microempresarial
200;masculino;industria;fabrica de repuestos;guayabal;3.0;15.0;2017-12-29;7300000.0;microempresarial
201;femenino;industria;fabrica de;manrique central no. 1;2.0;4.0;2018-08-21;3000000.0;microempresarial
202;femenino;comercio;almacen de ropa en;20 de julio;1.0;13.0;2018-06-08;2000000.0;microempresarial
203;masculino;comercio;variedades;la milagrosa;3.0;9.0;2018-03-09;5000000.0;microempresarial
204;femenino;servicio;peluqueria;aranjuez;2.0;4.0;2018-09-24;7800000.0;microempresarial
205;femenino;servicio;recreativo educativo;castilla;3.0;5.0;2018-12-17;7500000.0;microempresarial
206;masculino;comercio;distribuidora de;villa hermosa;3.0;8.0;2017-08-04;7300000.0;microempresarial
207;femenino;comercio;restaurante;manrique central no. 1;2.0;4.0;2018-09-27;6000000.0;microempresarial
208;femenino;comercio;almacen de ropa en;buenos aires;3.0;9.0;2017-06-14;7300000.0;microempresarial
209;femenino;comercio;taller de electronica;barrio caicedo;1.0;9.0;2018-11-14;3000000.0;microempresarial
210;femenino;industria;fabrica de;castilla;3.0;5.0;2019-01-04;7800000.0;microempresarial
211;femenino;comercio;variedades;la pradera;2.0;13.0;2017-07-10;7370000.0;microempresarial
212;masculino;servicio;productos de belleza;robledo;2.0;4.0;2018-07-10;5000000.0;microempresarial
213;femenino;industria;fabrica de muebles;castilla;3.0;5.0;2017-09-22;4000000.0;microempresarial
214;masculino;industria;fabrica de;buenos aires;3.0;9.0;2019-06-12;2500000.0;microempresarial
215;femenino;industria;fabrica de;san pablo;2.0;1.0;2018-02-21;1000000.0;microempresarial
216;masculino;comercio;almacen de ropa en;robledo;2.0;7.0;2017-07-10;7377000.0;microempresarial
217;femenino;comercio;tienda;manrique central no. 2;3.0;3.0;2019-05-22;5000000.0;microempresarial
218;femenino;comercio;comidas rapidas;robledo;2.0;7.0;2017-01-27;4000000.0;microempresarial
219;femenino;comercio;variedades;jardin botanico;2.0;3.0;2019-01-30;4000000.0;microempresarial
220;masculino;industria;fabrica de;manrique oriental;1.0;3.0;2018-10-03;7800000.0;microempresarial
221;masculino;servicio;lavanderia;robledo;3.0;7.0;2018-07-09;7800000.0;microempresarial
222;femenino;industria;fabrica de;buenos aires;1.0;9.0;2018-07-12;4000000.0;microempresarial
223;femenino;comercio;venta de calzado;belen;2.0;16.0;2016-10-19;4000000.0;microempresarial
224;masculino;servicio;taller de electronica;san javier no.1;3.0;13.0;2019-02-15;8122200.0;microempresarial
225;masculino;comercio;tienda;manrique central no. 1;3.0;4.0;2018-05-10;7800000.0;microempresarial
226;masculino;comercio;papeleria;el salvador;3.0;9.0;2019-04-26;7000000.0;microempresarial
227;masculino;comercio;carpinteria;cabecera san cristobal;2.0;;2018-08-01;3000000.0;microempresarial
228;masculino;industria;ebanistaria;belencito;2.0;13.0;2016-11-04;4000000.0;microempresarial
229;masculino;industria;fabrica de;cabecera san cristobal;2.0;;2018-12-19;4000000.0;microempresarial
230;masculino;comercio;tienda;san antonio;3.0;8.0;2019-06-21;4500000.0;microempresarial
231;femenino;servicio;criadero de animales;belen;2.0;16.0;2017-03-09;4000000.0;microempresarial
232;femenino;comercio;variedades;miranda;2.0;4.0;2018-02-01;2000000.0;microempresarial
233;femenino;industria;fabrica de;tejelo;3.0;5.0;2017-04-24;5000000.0;microempresarial
234;masculino;servicio;recreativo educativo;la esperanza;3.0;6.0;2016-03-07;6890000.0;microempresarial
235;masculino;industria;ebanistaria;belencito;2.0;13.0;2018-05-18;2000000.0;microempresarial
236;femenino;industria;fabrica de;las esmeraldas;2.0;4.0;2018-03-06;3000000.0;microempresarial
237;femenino;servicio;recreativo educativo;robledo;2.0;7.0;2016-05-19;2000000.0;microempresarial
238;masculino;comercio;comidas rapidas;barrio caicedo;1.0;9.0;2018-10-03;7500000.0;microempresarial
240;masculino;comercio;restaurante;belen;2.0;16.0;2017-02-23;5000000.0;microempresarial
241;masculino;industria;comidas rapidas;moravia;2.0;4.0;2018-06-27;3500000.0;microempresarial
242;masculino;industria;fabrica de productos;santander;2.0;6.0;2017-08-18;7377000.0;microempresarial
243;masculino;industria;panaderia;castilla;2.0;5.0;2017-05-16;7370000.0;microempresarial
244;femenino;comercio;variedades;buenos aires;3.0;9.0;2017-02-15;6800000.0;microempresarial
245;masculino;industria;fabrica de;campo valdes no. 1;2.0;4.0;2018-03-07;6000000.0;microempresarial
246;femenino;comercio;almacen de ropa en;aranjuez;2.0;4.0;2018-08-13;7812242.0;microempresarial
247;femenino;servicio;mantenimiento en;doce de octubre no.1;1.0;6.0;2017-01-27;6000000.0;microempresarial
248;femenino;comercio;variedades;santander;2.0;6.0;2018-06-21;6000000.0;microempresarial
249;femenino;industria;fabrica de;campo valdes no. 1;3.0;4.0;2017-11-30;7000000.0;microempresarial
250;masculino;comercio;tienda de helados;campo valdes no. 1;2.0;4.0;2016-04-11;6890000.0;microempresarial
251;masculino;comercio;tienda;belencito;2.0;13.0;2016-03-10;6890000.0;microempresarial
252;femenino;servicio;peluqueria;campo valdes no. 1;3.0;4.0;2018-04-03;7800000.0;microempresarial
253;masculino;servicio;organización y;florencia;3.0;5.0;2018-08-21;6000000.0;microempresarial
254;femenino;industria;fabrica de;santa cruz;2.0;2.0;2018-07-09;4500000.0;microempresarial
255;masculino;comercio;variedades;robledo;2.0;7.0;2017-01-17;7377000.0;microempresarial
256;masculino;industria;fabrica de;pablo vi;2.0;2.0;2017-05-16;7000000.0;microempresarial
257;femenino;servicio;comidas rapidas;boyaca;3.0;5.0;2018-03-06;6000000.0;microempresarial
258;masculino;servicio;variedades;robledo;2.0;7.0;2016-12-30;4000000.0;microempresarial
259;femenino;comercio;tienda;manrique central no. 2;2.0;3.0;2016-05-06;3500000.0;microempresarial
260;femenino;industria;fabrica de;robledo;2.0;7.0;2018-07-10;3800000.0;microempresarial
261;masculino;comercio;cafeteria;santa cruz;2.0;2.0;2018-08-08;7800000.0;microempresarial
262;femenino;comercio;variedades;belen;3.0;16.0;2017-07-12;7370000.0;microempresarial
263;femenino;comercio;variedades;la francia;2.0;2.0;2018-08-01;6000000.0;microempresarial
264;masculino;comercio;legumbreria;pedregal;3.0;6.0;2018-03-15;7800000.0;microempresarial
265;masculino;comercio;variedades;campo valdes no. 1;3.0;4.0;2018-03-07;7000000.0;microempresarial
266;masculino;comercio;restaurante;boyaca;3.0;5.0;2017-05-05;6000000.0;microempresarial
268;femenino;comercio;almacen de ropa en;robledo;1.0;7.0;2017-05-17;6000000.0;microempresarial
269;femenino;comercio;variedades;prado;3.0;10.0;2016-04-18;6890000.0;microempresarial
270;femenino;servicio;servicios;robledo;2.0;7.0;2017-07-19;7300000.0;microempresarial
271;femenino;comercio;distribuidora de;cabecera san cristobal;2.0;;2017-08-17;4000000.0;microempresarial
272;femenino;industria;fabrica de;picacho;1.0;6.0;2016-09-07;4000000.0;microempresarial
273;femenino;comercio;fabrica de;santa cruz;2.0;2.0;2018-07-18;7812000.0;microempresarial
274;masculino;industria;fabrica de;doce de octubre no.1;1.0;6.0;2017-05-31;5000000.0;microempresarial
275;femenino;comercio;variedades;picacho;2.0;6.0;2018-07-04;5000000.0;microempresarial
276;femenino;servicio;mantenimiento en;san joaquin;3.0;11.0;2018-08-09;7800000.0;microempresarial
277;femenino;comercio;variedades;castilla;3.0;5.0;2016-09-02;6000000.0;microempresarial
278;masculino;servicio;mantenimiento en;la america;3.0;12.0;2016-05-10;6890000.0;microempresarial
279;masculino;industria;fabrica de;robledo;2.0;7.0;2017-11-15;5000000.0;microempresarial
280;femenino;comercio;comidas rapidas;manrique oriental;2.0;7.0;2018-05-30;7800000.0;microempresarial
281;femenino;industria;fabrica de;manrique central no. 2;2.0;3.0;2018-01-29;7800000.0;microempresarial
282;femenino;servicio;cafe e internet;san javier no.1;1.0;13.0;2018-10-31;3000000.0;microempresarial
283;masculino;comercio;comidas rapidas;enciso;2.0;8.0;2019-06-12;8000000.0;microempresarial
284;femenino;comercio;tienda;campo valdes no. 1;3.0;4.0;2016-02-25;300000.0;microempresarial
285;femenino;comercio;almacen de ropa en;villa niza;2.0;2.0;2018-04-12;5000000.0;microempresarial
286;masculino;comercio;almacen de ropa en;barrio caicedo;1.0;9.0;2018-08-14;5500000.0;microempresarial
287;femenino;industria;fabrica de;la francia;2.0;2.0;2016-11-01;6890000.0;microempresarial
288;masculino;comercio;distribuidora de;el pinal;2.0;8.0;2019-04-03;8281000.0;microempresarial
289;femenino;industria;fabrica de;buenos aires;3.0;9.0;2019-03-11;8000000.0;microempresarial
290;femenino;industria;fabrica de;manrique central no. 1;2.0;4.0;2018-04-24;5000000.0;microempresarial
291;masculino;comercio;restaurante;la colina;3.0;15.0;2017-06-20;4000000.0;microempresarial
292;femenino;industria;fabrica de;santander;3.0;6.0;2017-02-08;3500000.0;microempresarial
